E,KE
1048.3108, 1074.0991
1064.1436, 1092.5984
1051.4899, 1079.5839
1062.3176, 1093.6234
1039.7777, 1063.1246
1050.581, 1076.3129
1055.6056, 1081.2163
1040.2958, 1064.8651
1054.1033, 1081.7153
1045.4043, 1077.8975
1038.6583, 1064.3397
1038.8026, 1070.7089
1023.2878, 1052.3234
1006.2434, 1033.8014
1019.47565, 1054.9521
993.15894, 1025.3645
1005.8124, 1043.0715
1010.8954, 1046.1191
1012.9234, 1046.7612
980.3197, 1014.0935
999.42847, 1033.618
1000.7972, 1037.61
977.58417, 1005.86395
928.75934, 956.039
929.9258, 970.9211
898.0852, 937.4256
877.3457, 905.38226
867.5539, 904.98926
861.16815, 893.5249
873.47455, 915.5482
872.35254, 912.8701
844.80505, 884.8961
863.54755, 904.24414
862.38293, 900.80597
862.2772, 893.9522
843.352, 882.486
839.21, 873.8309
828.38776, 872.8065
807.0457, 844.55585
800.0166, 840.193
803.4649, 840.2224
809.6078, 846.3395
794.89514, 830.6484
782.8467, 825.36884
780.4459, 823.6711
766.70294, 813.6481
762.7313, 801.0882
753.1903, 794.3321
717.6223, 758.0484
714.4789, 756.68024
708.97046, 746.65625
699.5455, 738.317
699.3941, 746.8747
690.5232, 735.65326
708.41394, 749.0822
685.065, 728.9943
685.4708, 724.86707
684.98663, 732.7126
687.0453, 729.7285
682.8605, 727.3611
667.7625, 711.6271
665.01404, 717.1434
656.0095, 710.7892
652.5791, 706.48676
653.81055, 702.9338
663.988, 714.54504
657.1212, 708.7527
657.2914, 706.4148
661.6661, 713.0621
654.1372, 698.11426
638.7411, 687.449
612.33417, 662.4256
624.6731, 673.8976
621.1267, 674.2181
612.6497, 669.79
601.4397, 659.684
593.5815, 647.156
589.324, 631.20844
587.725, 636.24585
586.86865, 633.04535
579.7483, 635.9478
547.4616, 596.8954
556.033, 605.2179
582.38055, 639.75287
570.7667, 631.7526
575.3391, 632.2878
577.5793, 638.1763
581.3075, 640.02734
597.5088, 655.67676
585.3692, 641.1793
615.3605, 671.5918
613.36993, 668.9791
600.7457, 663.4203
596.4404, 656.5628
577.12885, 647.3934
591.8367, 651.712
579.6993, 639.76965
591.36847, 655.19324
560.4128, 624.57385
544.77783, 603.5461
564.8443, 626.6063
553.3679, 613.4452
547.65735, 605.02295
549.49445, 615.0945
526.8573, 589.5902
526.08344, 584.1429
531.88654, 592.80774
497.53583, 564.7293
530.5882, 600.9593
523.28406, 593.1605
506.3947, 575.35547
495.37357, 560.41693
514.08813, 584.23254
517.60785, 587.89984
513.0471, 580.5128
511.7674, 584.90924
516.3425, 593.0531
528.256, 605.91205
500.71198, 572.53955
492.46896, 575.2212
498.4357, 586.69446
480.73346, 562.21484
481.8594, 558.15155
471.16055, 550.8258
475.8855, 562.0766
492.53574, 563.87573
488.48578, 558.8376
488.03934, 557.1786
489.09686, 557.9826
463.56473, 533.5331
460.66852, 538.647
473.16455, 550.5382
468.03912, 545.4808
467.06985, 547.17316
463.76187, 536.03107
447.81177, 527.2495
441.50482, 519.67957
445.69943, 544.8432
449.859, 538.6719
443.26453, 523.7185
419.5495, 502.96954
420.38284, 508.02643
429.5296, 521.1568
419.22342, 517.6442
410.65778, 496.3095
409.76483, 510.2444
410.9444, 506.01993
400.21997, 500.88153
389.49423, 488.16354
392.11945, 485.10315
390.43164, 487.8302
393.53378, 479.2347
417.47736, 509.70374
401.0136, 486.51566
388.65732, 483.67245
386.93182, 477.96753
386.9543, 464.28497
372.93768, 457.0966
390.4126, 479.43408
375.128, 456.6102
369.855, 459.20917
353.4666, 439.96265
371.31714, 465.86884
372.52963, 466.22098
380.27936, 470.2365
357.77417, 445.94977
367.54358, 458.66177
384.99792, 463.91348
372.10687, 448.2102
373.43112, 456.9313
377.49896, 471.06464
372.8731, 473.17218
360.23474, 468.348
371.67786, 466.63297
373.66498, 472.7795
363.75394, 463.71536
361.3887, 455.27097
350.64612, 447.8531
351.40417, 447.43933
361.8566, 454.9043
345.80994, 453.88654
353.02478, 461.77362
351.25403, 462.67468
368.49588, 474.14417
339.2099, 452.35767
353.0034, 460.50272
347.40427, 458.6809
333.56274, 440.53964
325.4378, 438.84872
318.01782, 436.7181
313.08954, 437.7574
300.32898, 411.80475
312.82028, 434.96518
315.15875, 430.3532
346.59888, 477.29822
316.75388, 441.4096
314.4215, 445.4415
314.63498, 431.1526
319.13544, 430.3285
311.25458, 426.37524
286.90726, 407.77148
275.6914, 383.9628
266.2896, 384.13568
274.2889, 390.0037
280.95953, 403.80362
271.8355, 394.644
286.4638, 405.1994
280.56293, 400.1166
284.58215, 402.2638
282.6174, 407.83752
278.48782, 393.83182
282.7763, 404.81973
278.08215, 390.808
276.58942, 398.32925
263.48438, 383.4463
255.13461, 381.90936
257.90552, 383.01102
268.25537, 397.6927
270.4975, 395.6965
262.0136, 385.33096
265.25336, 404.6032
264.77856, 389.44342
251.42993, 385.39502
271.93335, 406.62665
267.2765, 398.4226
272.65268, 399.48233
264.78195, 390.8749
262.69342, 400.74738
266.2292, 397.8783
253.1734, 393.37762
252.9395, 398.44315
255.08559, 397.4736
260.38745, 393.19852
266.17758, 379.04984
277.41382, 393.9769
270.49765, 387.47412
264.66345, 402.23517
279.3476, 398.84778
265.27618, 399.40454
241.35306, 370.28287
220.84132, 337.83865
227.94434, 358.58475
234.42064, 368.47162
245.6783, 385.20316
247.91537, 378.78668
241.60773, 371.79092
238.24153, 371.671
229.55888, 356.62665
231.97383, 370.3507
231.51776, 374.2671
217.39787, 351.89282
232.95021, 371.56177
213.5074, 348.33313
215.96124, 362.55542
219.86343, 366.83505
212.86102, 365.28036
211.53358, 364.67197
198.40005, 342.23282
204.14804, 370.81976
205.36601, 383.6319
218.12364, 402.81226
213.14072, 394.25485
209.70818, 397.65216
202.50177, 364.17804
208.44908, 372.73404
206.72716, 376.48663
196.58493, 366.6649
174.23595, 343.272
188.0924, 377.39862
174.92107, 355.4717
178.96135, 347.5069
175.98827, 346.05878
178.75262, 338.63162
180.84851, 355.64737
182.49167, 352.8317
181.6706, 365.51697
180.45857, 368.41217
160.71864, 355.06778
163.36311, 349.18387
167.43837, 338.62207
174.09741, 360.29422
170.7085, 352.7515
159.19695, 351.12137
154.54134, 357.01004
160.96777, 353.86407
159.6803, 353.2744
161.61484, 352.12872
158.71303, 373.59348
161.64018, 380.21918
160.16246, 354.98346
137.1017, 346.812
146.38264, 364.35678
134.31023, 352.0593
122.9066, 336.0782
113.01955, 339.26685
112.73912, 339.79974
116.06441, 351.0559
128.37067, 366.89224
112.33855, 354.15692
113.716644, 372.88934
113.958725, 366.08084
112.65167, 370.54254
121.65027, 384.2463
107.78807, 360.8006
91.78595, 345.55893
110.45111, 382.8748
