E,KE
1122.4, 1137.5065
1109.0313, 1119.5665
1072.9342, 1086.974
1047.6747, 1066.3348
1017.0534, 1030.6177
996.1667, 1015.76294
989.64514, 1003.9602
966.7073, 983.62134
971.57355, 992.2326
980.79486, 999.6923
980.1606, 996.22076
967.44415, 988.05414
963.6404, 983.7764
970.58716, 989.1847
953.762, 969.7562
934.38855, 948.1806
908.5871, 926.301
898.2351, 916.5274
888.3446, 902.413
887.1953, 905.1178
879.9971, 898.7598
862.83984, 876.95734
837.8012, 855.15765
824.76953, 843.39355
829.3231, 848.5235
813.86053, 835.8519
810.90796, 829.7167
815.70593, 835.1864
802.3338, 816.6927
799.61487, 818.2005
799.9779, 825.6898
793.06885, 811.2127
796.58594, 812.69495
806.7206, 832.53973
802.6603, 824.95184
801.69025, 827.5877
794.7829, 822.60614
766.091, 789.11237
775.32007, 798.668
761.0965, 783.1385
744.2788, 763.4271
717.8103, 740.00134
722.3337, 741.60443
726.44476, 745.9862
728.7963, 750.36224
718.28687, 737.38666
714.8893, 742.34045
726.7257, 748.1612
724.2125, 746.98035
709.9126, 732.1808
702.73456, 729.7801
691.2337, 717.8256
672.3058, 699.6899
667.61755, 696.1568
667.35736, 693.42346
676.9043, 705.0348
688.6278, 714.4487
688.9489, 714.064
688.82104, 711.1165
689.02374, 720.8392
670.6542, 698.0093
666.8818, 691.9919
672.5306, 708.70074
676.8631, 707.8933
693.8913, 726.95135
681.58563, 703.83984
669.8089, 694.659
654.9744, 681.5724
666.0795, 687.21875
665.3773, 700.225
662.6938, 692.3318
681.82947, 711.1848
688.7112, 718.6383
664.2501, 691.323
648.21484, 680.5026
651.5315, 689.10394
653.382, 692.50525
660.81146, 698.60406
649.902, 680.3499
643.35706, 670.6579
644.0403, 674.5827
628.7119, 658.5827
628.6215, 659.323
620.51526, 645.8669
619.7386, 649.795
600.6182, 637.01984
589.2769, 618.0462
583.74646, 615.6235
573.2571, 607.18567
570.56104, 609.89636
574.4115, 610.39606
560.9079, 601.15894
584.6811, 618.3964
590.4077, 628.9157
599.1879, 633.5382
594.5449, 623.91986
587.65216, 622.10803
578.3551, 611.2803
558.7177, 597.6522
559.96857, 595.28986
552.4046, 582.4935
555.9457, 597.517
550.12946, 585.9439
543.6812, 573.8628
537.5681, 577.5276
546.6082, 581.13434
529.74304, 564.15564
524.5793, 562.2288
533.6181, 570.1988
532.91815, 566.6498
516.2797, 554.6915
512.3991, 548.8325
512.47595, 545.27527
488.99857, 524.47015
497.823, 533.5221
479.4311, 517.22815
474.7953, 512.6414
496.79987, 530.69354
482.57562, 517.6494
490.10864, 524.89966
481.79678, 524.9362
464.61844, 508.13974
475.18494, 519.21185
476.40536, 517.24866
449.03708, 483.00565
467.09494, 507.4706
455.80826, 494.7111
465.57758, 499.97833
451.0108, 482.21246
455.12585, 485.56784
454.8274, 491.5558
451.18417, 487.21774
445.90158, 486.64117
455.4485, 491.3385
452.284, 486.8744
456.5358, 499.73947
455.81396, 492.58112
458.52304, 497.54648
443.60873, 481.78336
454.63205, 496.85056
443.2069, 489.57703
443.5303, 489.18546
452.45782, 496.5765
449.29092, 495.04898
452.60123, 500.68332
449.5073, 495.73502
441.39938, 494.88477
444.58505, 489.31442
427.4712, 469.17816
432.45163, 474.4197
448.2992, 490.76965
456.70465, 500.7387
437.20627, 479.8892
436.11398, 482.61343
443.25876, 493.10672
433.34717, 474.33798
423.97012, 470.9436
430.4032, 477.7968
434.24762, 492.8723
421.43048, 471.8438
422.2599, 467.73914
414.97998, 467.5903
423.68216, 470.46252
420.66885, 477.6652
417.98462, 469.9107
417.1692, 462.89624
404.04028, 452.33228
393.35236, 442.5403
399.17764, 448.0665
400.3703, 444.5791
396.73666, 441.59027
390.30325, 444.19308
399.52414, 449.43335
387.837, 440.82526
384.2462, 437.28436
381.10507, 437.95316
378.0202, 428.3938
389.62225, 448.8882
389.79468, 451.14584
383.55325, 441.60217
394.73438, 454.28082
378.8375, 439.71408
378.253, 444.5889
380.66132, 449.55215
371.5555, 437.6315
367.8895, 429.6676
373.4009, 432.9431
370.52325, 436.6909
367.50085, 436.90393
369.54266, 432.40427
365.41754, 423.1523
379.24915, 445.08038
380.6105, 439.71506
371.32037, 429.27014
368.51355, 427.43756
363.16498, 421.81946
347.233, 408.98242
344.83597, 398.58197
344.6956, 402.64786
348.96896, 407.42825
356.34705, 414.1167
353.984, 414.04614
348.14093, 405.3373
342.46155, 400.5362
334.95935, 395.58063
325.59604, 384.23398
331.3624, 394.02814
336.8977, 396.7507
331.9337, 396.63803
328.2683, 385.674
332.97617, 400.46246
338.24344, 400.96927
319.20352, 383.8098
315.7973, 381.95233
320.46216, 398.47937
327.2157, 400.32495
324.17523, 389.64764
338.11234, 404.54034
330.2978, 399.76358
316.4288, 378.1137
316.53128, 383.33374
319.43332, 390.88342
319.0385, 384.20096
325.8138, 389.37158
317.6528, 390.80774
314.56985, 390.13953
314.43976, 385.34094
309.83405, 389.40955
317.27557, 402.7201
311.45648, 392.75607
297.83524, 374.41736
304.97424, 392.09976
296.16397, 384.0045
302.54544, 382.53064
300.68216, 387.5437
303.1903, 390.69446
295.28577, 384.9473
297.2106, 384.387
303.49942, 383.94046
302.16965, 373.09396
298.31808, 368.574
296.13416, 370.3598
292.68823, 365.72092
284.50116, 366.472
287.8963, 365.14316
283.18283, 360.89423
274.06256, 355.90134
280.59177, 365.1562
284.5047, 370.28506
276.13864, 358.14203
276.98676, 371.3084
269.75064, 365.4987
264.17963, 358.1437
266.0704, 354.0512
263.505, 348.14185
265.3588, 348.58472
267.49304, 349.4261
258.3086, 351.43127
260.96704, 346.9856
257.68887, 348.2436
257.38568, 349.9922
255.2205, 347.81512
250.68214, 336.96948
246.19276, 341.05258
235.9797, 329.18094
237.86313, 330.3513
242.74097, 341.8348
244.04532, 343.96582
243.2362, 340.9459
251.20682, 351.14038
261.1286, 365.19894
261.59943, 365.74667
247.79309, 349.13602
256.34592, 350.14185
246.9245, 331.7786
244.10858, 337.1214
245.2211, 337.8145
240.98781, 330.5848
251.81296, 347.63806
233.94193, 333.66928
235.4017, 325.14157
234.35637, 325.70215
241.74152, 339.6246
243.07895, 348.82776
231.31113, 338.11783
230.30688, 336.72235
