E,KE
1823.9818, 1834.3195
1791.8915, 1802.0942
1752.9485, 1763.8168
1760.9592, 1772.2458
1718.4974, 1730.1522
1733.7512, 1746.8496
1723.1427, 1734.0553
1741.72, 1751.6282
1742.9658, 1753.4843
1760.4231, 1774.3538
1842.3722, 1856.3802
1818.8734, 1822.288
1812.0837, 1823.7134
1819.0831, 1830.0621
1823.3967, 1837.8175
1849.7397, 1855.3344
1867.9774, 1868.9712
1819.624, 1831.1422
1771.8175, 1783.0844
1810.9727, 1824.48
1845.2465, 1860.0625
1800.9812, 1815.3219
1778.2407, 1797.1202
1824.2775, 1828.8938
1801.2957, 1812.151
1863.8464, 1879.645
1809.0547, 1824.7546
1789.982, 1808.8807
1786.5343, 1803.2664
1745.8667, 1761.8107
1778.4326, 1793.836
1776.1787, 1790.698
1783.3372, 1801.2874
1758.1552, 1779.1588
1689.907, 1706.6722
1654.967, 1669.676
1670.3154, 1684.1158
1638.3372, 1658.0709
1589.6876, 1606.8647
1601.7239, 1614.1808
1640.5078, 1660.5677
1622.7253, 1637.1709
1649.1035, 1666.3661
1631.1241, 1652.397
1657.4706, 1676.7073
1631.2129, 1657.977
1635.0677, 1652.3829
1619.0863, 1637.735
1643.2919, 1663.0751
1636.9993, 1651.2047
1638.45, 1657.8641
1582.9843, 1598.2505
1598.3118, 1620.7605
1577.76, 1598.4309
1581.2605, 1603.2373
1590.6904, 1605.6621
1553.3264, 1569.0891
1516.786, 1539.0057
1515.6727, 1534.2354
1488.6647, 1500.2686
1497.7798, 1513.215
1496.3066, 1519.9983
1431.9293, 1455.9653
1408.6075, 1424.7731
1367.5963, 1382.5454
1357.014, 1378.6683
1335.2584, 1354.0072
1346.8967, 1368.8081
1345.6521, 1360.7318
1290.9465, 1308.8463
1279.8541, 1296.5873
1273.3204, 1296.2817
1284.2374, 1302.6854
1321.3014, 1343.5557
1305.3341, 1333.0385
1285.2028, 1307.0189
1247.6718, 1272.6316
1248.22, 1267.131
1249.8744, 1270.3324
1248.869, 1271.213
1246.6267, 1268.3992
1257.3164, 1278.504
1252.1875, 1277.9908
1239.2813, 1262.8269
1254.6282, 1271.4598
1270.539, 1289.2117
1255.0199, 1276.2411
1260.1774, 1287.809
1254.5707, 1281.0863
1249.7501, 1276.5223
1242.2308, 1266.7888
1205.8602, 1226.23
1192.5546, 1215.5608
1170.1788, 1197.5785
1179.625, 1194.4895
1188.3053, 1212.5217
1152.7944, 1172.5502
1160.7777, 1184.23
1174.75, 1194.767
1166.0936, 1191.2782
1160.7329, 1184.0702
1148.0388, 1171.5642
1162.1852, 1185.1852
1123.731, 1149.357
1133.6241, 1154.5511
1144.0057, 1164.5879
1139.4324, 1161.7112
1119.5215, 1144.2202
1107.2975, 1133.955
1105.1641, 1133.5835
1099.2494, 1126.5942
1071.5896, 1101.285
1074.1483, 1101.2145
1037.1343, 1061.9147
1043.8389, 1065.5869
1040.5088, 1063.3126
1015.446, 1047.0555
996.3582, 1029.7177
986.0127, 1014.19836
1003.8398, 1033.0626
983.8309, 1011.45154
971.4091, 1000.7629
951.8367, 981.01825
938.3026, 963.67395
960.7671, 996.5429
934.7983, 967.8483
959.00256, 988.1825
954.2604, 983.0336
988.32623, 1012.4981
981.0987, 1011.136
983.1168, 1013.2693
965.0038, 995.5712
937.2124, 967.00665
939.7086, 970.0141
958.63916, 994.4713
973.3046, 1004.11066
970.0978, 1005.5669
974.24475, 1005.93414
998.92053, 1023.98584
1019.22675, 1053.3723
978.50775, 1004.22296
1006.3536, 1027.8229
1005.35864, 1039.561
978.26263, 1006.8241
963.3099, 991.3806
975.83704, 1012.7545
974.1795, 1009.3585
950.13544, 982.7586
952.6822, 985.08246
943.83704, 967.85126
891.61206, 920.9333
889.77844, 924.11566
898.252, 930.32385
878.2042, 906.3458
897.624, 927.57874
897.9916, 928.45703
871.911, 908.0844
877.3942, 915.78314
867.4808, 902.44446
882.1168, 912.1453
888.70337, 933.2627
898.61505, 928.19977
893.5083, 925.55927
863.4767, 887.11615
852.0645, 883.5495
843.15857, 873.95135
837.21106, 863.5798
850.38257, 885.6417
827.411, 864.67365
833.0519, 865.9879
844.61, 879.7884
843.60455, 881.69867
823.1178, 864.19183
806.4047, 843.049
807.5524, 841.84955
814.3929, 850.008
809.37964, 843.842
821.59814, 864.10004
804.43744, 844.39984
797.2674, 836.7529
786.0935, 825.6039
794.8321, 838.8095
799.8945, 833.78467
783.87836, 820.97345
806.8944, 845.33264
786.5135, 827.8654
785.2243, 820.6619
788.8326, 826.4084
803.39746, 830.8883
763.26086, 799.8907
776.5825, 800.44653
751.2464, 785.27673
756.64966, 782.6607
734.1663, 771.0569
755.38495, 801.79346
732.6128, 769.417
741.44165, 785.6189
717.93036, 759.03687
736.79236, 781.0211
730.1555, 771.44135
733.30975, 774.00574
718.8199, 765.70135
687.3549, 729.8672
694.49713, 736.1604
681.59045, 727.9809
692.67725, 729.5104
689.40674, 728.29834
684.7908, 722.1672
698.1904, 736.18274
724.7637, 761.44214
715.61835, 757.2082
685.5036, 722.27966
717.92206, 756.70404
695.2198, 733.84406
716.9747, 755.3273
703.84216, 747.41095
730.1212, 776.7848
701.73694, 735.2304
693.8149, 735.9114
697.73193, 735.0401
709.9304, 751.9925
689.556, 732.8833
706.1892, 745.44946
690.94226, 728.2377
688.71936, 728.6943
694.166, 738.8161
684.5435, 730.3995
667.767, 711.5602
668.4417, 713.7547
667.8653, 716.42725
663.67944, 702.82385
659.6048, 703.7333
654.32886, 697.84515
665.7855, 706.6599
690.96313, 736.23755
669.90356, 710.5919
676.632, 715.41046
661.31494, 700.972
642.72253, 680.6684
636.3926, 674.6779
636.1134, 674.5774
656.94385, 707.3323
678.54926, 727.98004
675.38684, 715.26416
656.04095, 694.8689
650.434, 696.67206
643.2915, 691.54944
617.4337, 670.65045
607.81573, 654.37885
601.09186, 649.75793
599.2283, 648.194
607.5911, 661.9857
609.803, 664.4027
625.3557, 680.5924
639.40643, 696.8966
642.08234, 688.61597
614.95715, 664.31415
617.5499, 652.8097
628.547, 681.93427
614.6686, 667.8011
599.3591, 653.0267
615.63605, 665.19775
588.8885, 642.72986
585.76324, 633.93445
597.3132, 646.85706
607.82715, 646.8284
600.43396, 648.32434
604.58136, 658.7248
610.69006, 657.146
600.92584, 654.5626
590.77496, 641.4269
585.4162, 650.70435
584.706, 628.0261
584.53406, 630.87933
595.8775, 650.43665
585.3172, 635.0149
553.653, 604.05896
559.7092, 614.601
571.47504, 628.1109
575.78503, 618.7078
585.89655, 643.22095
598.03796, 649.99554
598.6675, 645.43036
607.58813, 656.43115
589.44, 630.59863
594.02124, 653.29645
597.0986, 650.96356
584.7292, 634.86884
586.84045, 642.14703
560.50946, 615.9354
553.6817, 610.70166
550.4711, 607.7599
543.307, 601.8698
547.7921, 597.19336
534.88245, 592.03296
545.8058, 595.0402
529.7191, 581.9394
538.4891, 597.7185
521.6312, 582.12256
529.4434, 584.7533
530.0947, 582.1259
530.5994, 589.6603
539.7177, 602.0524
542.9742, 593.888
524.179, 586.6973
510.5891, 576.6269
512.798, 563.2606
506.54025, 565.10657
516.63574, 575.22253
520.54877, 588.1924
523.8688, 580.1298
526.05963, 582.2067
527.4476, 580.79095
535.6949, 595.2209
531.4205, 587.5493
510.29166, 576.6766
519.008, 579.5484
519.5402, 576.0294
512.05005, 573.0425
506.6497, 577.5685
513.1691, 581.9125
523.2576, 595.51263
486.18076, 548.8423
506.98022, 577.94855
509.45987, 574.6703
523.5805, 586.9614
496.83743, 557.7079
493.61176, 550.1452
489.00812, 556.2733
504.06332, 567.0323
522.67664, 582.4257
518.5808, 582.09753
500.90268, 562.80634
498.9832, 555.82806
507.12015, 563.7172
487.7188, 561.9747
491.59338, 560.0832
481.511, 546.3773
487.6546, 545.7556
487.4281, 546.4379
464.3164, 524.0963
477.5325, 543.4822
487.62625, 549.86127
487.8494, 550.0865
503.4191, 571.21686
493.2536, 553.5457
490.03125, 548.4952
494.15076, 559.2556
483.31198, 545.5078
491.0693, 550.191
483.23196, 540.7364
468.04242, 530.6071
489.06467, 551.0113
485.07376, 549.23553
463.12982, 526.77246
443.0976, 511.47568
457.82892, 517.9983
452.363, 524.7592
461.04395, 532.2326
476.7366, 534.7197
469.14667, 531.77454
454.09866, 507.82034
436.808, 500.3701
449.03687, 519.63696
438.41797, 511.7475
448.60535, 514.3158
450.61493, 517.3813
443.29202, 512.4514
448.02014, 513.6999
437.97437, 509.68497
432.95468, 498.54584
454.89545, 522.5697
459.98773, 537.41254
460.48087, 532.19916
436.1986, 517.68066
436.73822, 507.24374
443.0005, 510.55035
442.0059, 518.3772
447.5339, 529.3468
446.27856, 513.7936
444.79163, 513.42664
439.9453, 523.1822
445.8554, 520.8165
445.78082, 517.8483
427.01013, 497.57617
425.2185, 491.12933
432.97556, 507.8272
422.19214, 499.6665
421.14197, 500.962
411.00934, 483.06677
404.43863, 478.22675
400.48157, 468.34247
407.74432, 482.79257
416.09372, 490.74292
427.09192, 496.98642
428.9135, 501.45215
423.31003, 499.3413
423.65033, 494.72464
420.17383, 490.933
420.47565, 506.54056
405.74402, 496.1933
394.28763, 471.97766
402.93546, 464.80136
391.79874, 464.4285
405.08536, 472.94922
404.78177, 477.51236
410.52396, 484.82687
402.09717, 474.92233
393.38995, 461.5892
386.36746, 461.86197
393.28207, 471.87708
405.44495, 487.61417
399.0953, 477.49023
403.35498, 486.88818
391.36365, 471.6223
379.44525, 459.2788
392.45737, 477.2884
387.9643, 472.7237
376.57495, 453.41736
397.6575, 474.5519
384.58572, 459.13824
392.11932, 472.91333
390.71585, 478.93427
374.02188, 455.6781
369.41577, 446.61066
