E,KE
1379.4691, 1434.9342
1379.5107, 1422.0967
1379.4537, 1410.6868
1379.1476, 1398.9783
1379.0963, 1396.3103
1371.6354, 1388.2113
1377.0098, 1392.6035
1371.9056, 1383.2279
1378.7979, 1391.4446
1378.1326, 1391.9517
1370.0012, 1381.7755
1376.1102, 1389.5831
1375.2972, 1386.6064
1373.7726, 1384.1929
1376.5784, 1385.2379
1377.8678, 1387.1412
1388.2665, 1398.2312
1405.7583, 1413.5212
1423.0585, 1431.1064
1441.0917, 1447.9756
1443.7194, 1451.2804
1400.4413, 1407.7758
1312.9235, 1321.0104
1222.186, 1231.6396
1137.6803, 1144.635
1063.8873, 1071.9167
1008.87274, 1016.18097
976.03796, 984.072
947.7523, 955.2986
920.62476, 927.8586
901.7006, 908.9227
880.042, 888.9999
860.42706, 869.38605
843.7136, 851.11127
820.6773, 828.9831
806.63196, 815.2737
788.5801, 798.88477
774.0973, 784.18744
755.9252, 764.9376
741.2881, 750.3685
728.8371, 737.17194
724.46173, 734.8333
718.49835, 726.014
708.45496, 715.35864
704.6456, 714.0245
691.4117, 699.2968
685.80853, 693.58234
669.91235, 678.1247
660.60364, 668.5432
646.6592, 656.392
630.68066, 639.21484
617.6332, 628.69446
610.22974, 619.329
603.0346, 613.65283
594.7055, 604.5817
583.66565, 591.8107
573.38116, 584.3581
564.31726, 572.9609
555.1968, 565.0521
545.0801, 553.6356
540.76917, 548.336
534.12854, 542.31464
527.7062, 539.00507
520.17523, 529.9829
514.7746, 524.4668
512.92975, 521.0148
505.4343, 511.92627
501.12415, 509.53925
494.91553, 506.74753
485.40942, 496.8142
478.6114, 487.92923
473.99506, 483.58054
468.72247, 477.7197
465.99496, 478.4419
459.73074, 470.65176
456.82776, 470.0954
450.7527, 462.624
443.62372, 454.93442
437.26508, 449.04095
433.08304, 445.48627
432.11926, 445.2648
428.71933, 442.4911
426.9424, 444.7146
424.43555, 441.9273
424.3168, 441.40573
422.91254, 437.71506
420.59338, 437.31818
416.36066, 432.67276
409.99512, 429.40497
406.3513, 422.6761
399.8194, 414.6375
394.27664, 408.97757
392.37115, 408.02402
387.82922, 404.05127
385.71262, 406.51578
381.25262, 400.0002
374.4986, 394.84
371.24127, 390.42996
368.48114, 391.73206
365.47876, 381.80716
361.17377, 378.9678
359.23117, 378.4944
354.95227, 373.70837
352.85233, 370.72476
346.7799, 363.71848
341.42926, 360.1305
338.25433, 355.44824
335.7202, 354.38943
334.20438, 352.5438
330.11728, 347.62875
327.68387, 347.76822
324.0344, 347.513
320.71472, 342.4673
318.71072, 343.65512
317.46155, 338.66986
315.54553, 341.56448
313.11285, 339.47083
310.20764, 341.10626
308.48154, 333.52426
306.70828, 334.25436
303.2328, 330.15762
298.08206, 323.81543
295.0834, 326.54794
291.9404, 323.39255
288.42715, 319.9695
284.5218, 314.95386
280.86328, 310.0152
277.1808, 308.50787
274.51788, 305.157
269.58658, 301.99475
268.17532, 299.46976
265.88245, 299.99075
263.58234, 297.5521
260.971, 294.79724
258.97354, 299.9292
256.8361, 296.9857
252.17522, 295.50513
251.73318, 293.4877
248.37048, 288.43414
246.12347, 289.02884
243.31648, 281.60342
242.78134, 277.46985
240.3263, 278.58994
237.78467, 274.06696
235.4701, 273.0956
232.27191, 271.14255
229.98561, 274.21338
227.49605, 270.45813
224.171, 269.47876
222.05673, 266.54993
219.44907, 262.50803
217.03426, 268.8523
214.36465, 263.6636
214.23982, 263.47012
212.61491, 260.1302
211.33946, 259.98102
209.17725, 255.75682
207.42279, 256.12564
205.77771, 257.81424
203.1794, 252.90262
200.80489, 252.39175
198.83855, 250.16193
196.13324, 251.21085
193.43365, 250.84131
191.26855, 252.03902
189.24554, 243.02829
186.7529, 240.44807
184.4554, 242.0318
183.4821, 244.39256
180.40308, 242.78847
178.53632, 238.69147
176.50633, 232.68695
175.88622, 237.12923
173.71136, 235.2227
173.81818, 241.4218
173.36151, 238.89818
171.69681, 240.04938
169.63239, 238.33298
167.97273, 228.33296
166.49033, 231.50401
164.32571, 233.2701
162.88135, 227.98615
160.5542, 230.0654
158.84117, 234.25037
156.97302, 234.80898
154.3476, 231.3786
151.6904, 227.29344
149.9366, 222.37694
147.43216, 227.65822
145.4077, 219.43773
144.08774, 225.41005
141.8357, 230.74753
140.0462, 223.84573
138.80414, 223.76857
137.99704, 223.88751
135.31726, 215.0948
134.677, 217.25677
132.37189, 223.2553
130.27597, 219.13791
128.58652, 225.7241
127.66027, 222.68594
125.87236, 228.1434
124.593376, 225.15196
123.398636, 226.14902
120.54321, 221.63982
118.48313, 225.98032
117.31085, 223.4555
114.9232, 225.78854
112.32882, 226.63374
110.8377, 225.78291
108.78217, 217.45427
106.719376, 213.39767
105.95561, 223.44006
102.77415, 218.92407
101.103165, 221.28654
99.96687, 219.54561
97.981384, 230.9799
95.40401, 218.13779
93.77826, 223.87003
91.56453, 222.18588
89.83409, 217.32927
87.359344, 217.85579
84.74556, 218.75768
82.72514, 217.92049
80.694046, 217.79726
77.77501, 221.10573
74.89111, 211.74141
73.25284, 206.68997
70.67671, 226.81094
69.108734, 209.95511
66.71034, 223.41656
65.220566, 221.19122
63.063766, 214.78558
61.155228, 215.67773
59.60965, 230.47902
57.06122, 214.03752
56.324753, 225.0127
54.52278, 237.21434
52.389908, 241.29964
50.861374, 232.42812
48.36989, 241.56227
46.016037, 234.53886
44.722015, 235.46857
42.36078, 236.28827
40.061905, 240.50723
37.07982, 238.41905
33.58145, 233.34583
31.687302, 250.86769
28.402496, 247.52136
25.612747, 249.70584
22.521408, 245.35295
18.753815, 252.59341
16.475723, 237.78728
13.518311, 228.04967
10.994934, 255.4675
7.361557, 245.01756
3.94516, 243.30666
1.8967133, 240.1974
-0.6711273, 235.8837
-4.539276, 247.78806
-7.1298523, 252.85922
-9.774963, 234.97942
-13.060532, 251.53954
-16.03299, 244.48984
-19.09137, 246.29282
-21.552689, 241.53429
-24.918777, 252.64659
-27.472382, 263.53677
-31.522919, 252.2002
-34.10669, 256.14728
-37.313446, 260.40314
-40.293655, 245.3272
-43.89212, 251.5546
-47.040695, 251.68196
-50.84781, 276.4988
-52.48456, 274.21164
-57.3302, 262.25903
-59.99637, 260.06778
-63.832947, 272.03677
-68.28961, 268.62762
-71.20343, 280.14764
-75.55585, 283.11884
-79.594696, 275.0127
-82.74371, 266.43936
-87.67087, 275.22058
-90.49786, 274.9594
-93.88431, 289.52304
-98.31784, 275.66318
-103.45923, 270.28036
-106.29315, 278.26633
-111.03909, 275.54858
-114.732635, 279.94864
-117.95325, 274.20682
-122.58301, 276.92603
-126.05652, 292.04288
-128.95346, 282.39417
-132.66742, 285.9005
-136.32483, 276.54135
-140.8222, 276.26978
-143.41864, 294.04132
-147.75201, 286.46747
-152.08118, 289.05762
-156.24673, 300.03613
-160.08029, 291.71814
-165.0397, 296.70163
-168.19019, 288.4565
-170.98996, 311.1108
-176.44547, 279.30972
-180.31866, 304.53467
-184.33188, 299.24603
-189.06412, 310.08627
-193.42844, 307.69766
-197.9267, 305.28897
-203.69946, 324.81732
-207.29846, 327.16998
-211.53189, 309.05612
-216.48004, 309.57416
-219.8537, 311.91986
-224.59866, 301.30484
-229.33597, 311.80978
-233.44736, 317.1237
-238.96677, 326.79105
-243.52222, 308.80963
-249.18826, 306.2925
-253.52698, 326.88092
-260.04422, 327.55313
-264.55765, 304.78024
-268.6297, 330.58606
-274.15906, 314.75977
-279.7032, 306.75287
-284.18906, 305.75815
-289.37186, 313.80356
-294.7746, 324.32184
-301.3366, 322.7437
-306.4021, 318.39093
-311.6672, 337.10892
-317.19626, 317.4819
-322.4711, 318.89548
-326.717, 338.2267
-333.89655, 328.53253
-337.46722, 336.98828
-343.22134, 323.99655
-348.51376, 331.25888
-354.9611, 341.56918
-359.7786, 341.3124
-367.00055, 337.48218
-372.00592, 335.71783
-377.17654, 327.91122
-382.2364, 324.60474
-389.11032, 349.5958
-394.2377, 318.89847
-398.92227, 331.00296
-404.0515, 320.62164
-410.21167, 336.52344
-412.78378, 346.64688
-419.37256, 337.77087
-425.58878, 335.303
-433.626, 330.3555
-435.80634, 331.6018
-442.91162, 338.7157
-448.8527, 320.68912
-454.6658, 356.44644
-457.87592, 334.75342
-464.79584, 344.13123
-470.5089, 358.2827
-478.26602, 337.60727
-482.87567, 328.935
-487.7515, 347.4039
-493.82718, 340.16904
-500.14166, 348.10815
-505.7946, 336.80142
-512.00775, 360.56903
-517.64056, 337.85724
-525.48413, 356.62494
-530.76, 330.56424
-534.5157, 359.9331
-543.0857, 345.78378
-548.5283, 360.53152
-556.581, 383.7497
-562.98645, 368.85837
-570.6704, 355.87088
-574.31494, 359.75803
-580.94336, 366.5209
-586.8165, 368.2385
-594.0438, 376.7203
-600.2623, 371.5986
-607.9154, 391.82047
-613.7982, 368.27545
-621.8441, 366.89697
-625.816, 368.6507
-633.48474, 376.73703
-642.27484, 399.75592
-650.0126, 381.28128
-655.9674, 371.4976
-664.3943, 391.47293
-668.81616, 369.12695
-676.1024, 356.03372
-683.58813, 363.32813
-690.3772, 368.9447
-695.9303, 371.1791
-702.85614, 383.66095
-710.698, 347.5741
-719.17346, 368.4475
-725.4151, 365.88483
-731.64526, 379.8732
-737.5735, 362.96494
-743.51685, 355.91342
-751.4319, 371.32214
-758.845, 400.30273
-765.6533, 374.62863
-773.7083, 357.99103
-779.062, 379.03564
-784.678, 357.90744
-792.49963, 378.7581
-799.28406, 367.15817
-805.5409, 367.8618
-809.70605, 377.1097
-818.3203, 388.6842
-827.23645, 394.2931
-834.30457, 402.35718
-839.79626, 378.54227
-848.3772, 380.1522
-856.10144, 390.63998
-862.1483, 394.4202
-871.7786, 390.0937
-880.1552, 385.37714
-886.3849, 382.73682
-893.5755, 402.6856
-903.02277, 403.72113
-908.65967, 395.03738
-916.3718, 397.75317
-922.0928, 399.73315
-931.3444, 392.2154
-938.18567, 378.55103
-945.66724, 398.5566
-954.6307, 375.51337
-959.246, 372.07156
-967.728, 388.99026
-971.2416, 389.91226
-980.98035, 386.7839
-986.8749, 356.32755
-993.9294, 381.549
-1002.3092, 380.59656
-1009.1886, 372.807
-1014.8844, 381.03683
-1020.2866, 391.82004
-1029.451, 410.34628
